,mobile nmae,mobile price,mobile stars,mobile ratings
0,Swipe X1 Tab FHD IPS Display Octa Core 4 GB RAM 64 GB ROM 10.1 inch with Wi-Fi+4G Tablet (Glacier Blue...,"₹15,949",3.9,30 Ratings & 8 Reviews
1,Swipe X1 Tab FHD IPS Display Octa Core 4 GB RAM 64 GB ROM 10.1 inch with Wi-Fi+4G Tablet (Space Grey),"₹15,949",3.9,30 Ratings & 8 Reviews
2,Lenovo Tab M10 (HD) 2nd Gen 4 GB RAM 64 GB ROM 10.1 inch with Wi-Fi+4G Tablet (Platinum Grey),"₹15,949",4.2,"3,118 Ratings & 286 Reviews"
3,SAMSUNG Galaxy Tab A7 3 GB RAM 64 GB ROM 10.4 inch with Wi-Fi Only Tablet (Silver),"₹16,449",4.4,"6,414 Ratings & 591 Reviews"
4,SAMSUNG Galaxy Tab A7 3 GB RAM 64 GB ROM 10.4 inch with Wi-Fi Only Tablet (Gold),"₹16,449",4.4,"6,414 Ratings & 591 Reviews"
5,SAMSUNG Galaxy Tab A7 3 GB RAM 64 GB ROM 10.4 inch with Wi-Fi Only Tablet (Dark Grey),"₹16,449",4.4,"6,414 Ratings & 591 Reviews"
6,realme Pad 4 GB RAM 64 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Grey),"₹17,949",4.5,"26,266 Ratings & 3,041 Reviews"
7,realme Pad 4 GB RAM 64 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Gold),"₹17,949",4.5,"26,266 Ratings & 3,041 Reviews"
8,SAMSUNG Galaxy Tab A7 LTE 3 GB RAM 32 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Dark Grey),"₹18,949",4.4,"4,719 Ratings & 432 Reviews"
9,Swipe X1 Tab FHD IPS Display Octa Core 6 GB RAM 128 GB ROM 10.1 inch with Wi-Fi+4G Tablet (Space Grey),"₹18,949",3.9,30 Ratings & 8 Reviews
10,Swipe X1 Tab FHD IPS Display Octa Core 6 GB RAM 128 GB ROM 10.1 inch with Wi-Fi+4G Tablet (Glacier Blu...,"₹18,949",3.9,30 Ratings & 8 Reviews
11,SAMSUNG Galaxy Tab A7 LTE 3 GB RAM 32 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Gold),"₹18,949",4.4,"4,719 Ratings & 432 Reviews"
12,Lenovo Smart Tab M10 FHD Plus (2nd Gen) with Google Assistant 4 GB RAM 128 GB ROM 10.3 inch with Wi-Fi...,"₹19,449",4.3,"6,166 Ratings & 640 Reviews"
13,APPLE ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi Only (Space Grey),"₹34,850",4.6,"5,289 Ratings & 784 Reviews"
14,APPLE iPad (8th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G (Silver),"₹41,850",4.7,"7,503 Ratings & 760 Reviews"
15,Lenovo Tab P11 Pro 6 GB RAM 128 GB ROM 11.5 inch with Wi-Fi+4G Tablet (Slate Grey),"₹41,949",4.4,206 Ratings & 30 Reviews
16,APPLE ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G (Gold),"₹45,850",4.6,"5,289 Ratings & 784 Reviews"
17,APPLE ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G (Silver),"₹45,850",4.6,"5,289 Ratings & 784 Reviews"
18,APPLE ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G (Space Grey),"₹45,850",4.6,"5,289 Ratings & 784 Reviews"
19,APPLE ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi Only (Silver),"₹48,850",4.6,"5,289 Ratings & 784 Reviews"
20,APPLE ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi Only (Space Grey),"₹48,850",4.6,"5,289 Ratings & 784 Reviews"
21,APPLE ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi Only (Gold),"₹48,850",4.6,"5,289 Ratings & 784 Reviews"
22,APPLE iPad Air (4th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only (Sky Blue),"₹51,850",4.7,"5,877 Ratings & 481 Reviews"
23,APPLE iPad Air (4th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only (Space Grey),"₹52,350",4.7,"5,877 Ratings & 481 Reviews"
